GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,PanelistServiceImpl,85,1015,12,48,10,193,19,61,8,40
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,AuditService,3,67,0,8,2,15,0,9,0,5
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,ProgressTitulacionServiceImpl,17,256,5,9,5,55,5,14,0,12
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,RubricEvaluationServiceImpl,80,980,24,58,8,211,27,41,3,24
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,SubmissionServiceImpl,200,1178,21,81,33,230,33,62,12,32
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,ReporteServiceImpl,137,499,15,23,14,75,17,25,5,18
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,ResourceTitulacionServiceImpl,35,129,0,10,5,30,0,14,0,9
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,WalPitrService,396,593,43,47,62,134,33,41,3,26
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,StudentService,5,542,13,43,0,102,13,34,0,19
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,ProgressTitulacionServiceImpl.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,ChatbotService,0,167,2,40,0,26,2,22,0,3
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,EmailService,14,139,1,7,4,33,1,9,0,6
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,BackupScheduler,16,190,8,22,6,47,8,12,0,5
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,NotificationServiceImpl,30,229,5,17,5,54,9,17,4,11
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,PermissionService,0,101,3,25,0,21,3,16,0,5
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,BackupService.Conexion,15,0,0,0,1,0,1,0,1,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,CatalogoAdminService,44,18,0,0,16,1,4,1,4,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,BackupService,1321,803,95,67,207,179,80,52,22,26
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,TutorServiceImpl,0,366,0,12,0,75,0,19,0,13
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,SupresionDatosService,19,134,1,7,2,35,4,8,3,5
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,EvaluationServiceImpl,295,443,31,39,44,86,39,23,13,14
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,CleanupBitacoraScheduler,0,46,0,2,0,13,0,4,0,3
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,EvaluationPanelistService,17,319,6,24,1,71,8,19,2,10
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,WalPitrService.ProcessResult,9,0,0,0,1,0,1,0,1,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,MinutesServiceImpl,319,2213,73,131,32,366,74,68,9,31
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,ProposalServiceImpl,168,348,19,23,30,83,22,16,6,11
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,BackupService.ProcessResult,9,0,0,0,1,0,1,0,1,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,WalPitrService.Conexion,15,0,0,0,1,0,1,0,1,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,TutoringServiceImpl,161,1092,29,67,19,254,39,47,13,25
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.jwt,JwtAuthenticationFilter,8,179,4,22,2,42,4,15,0,6
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.jwt,JwtTokenProvider,2,431,3,35,1,107,3,34,0,18
